Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TL_Testsuite,Chrome 121.0.0.0,,,07-02-2024 19:20:50,07-02-2024 19:22:06,1m - 16.310s,PASSED
,,,,,,,
Test Cases/Testcase using TestListener/TC_TL_Wishlist,Chrome 121.0.0.0,,,07-02-2024 19:21:13,07-02-2024 19:22:06,52.703s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:21:14,07-02-2024 19:21:19,5.154s,PASSED
"setText(findTestObject(""Object Repository/TC_TL_Wishlist_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""da vinci code"")",Chrome 121.0.0.0,,,07-02-2024 19:21:19,07-02-2024 19:21:25,5.476s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Wishlist_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,07-02-2024 19:21:25,07-02-2024 19:21:29,4.788s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Wishlist_OR/Page_The Da Vinci Code (Robert Langdon) Bro_e0923b/a_View Your List""))",Chrome 121.0.0.0,,,07-02-2024 19:21:29,07-02-2024 19:22:02,32.177s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:22:02,07-02-2024 19:22:06,4.443s,PASSED
